Date,Open,High,Low,Close,Volume
2022-07-31 23:30,1.02248,1.02248,1.02248,1.02248,0.0
2022-08-01 01:30,1.02098,1.0224,1.02076,1.02148,11982.267
2022-08-01 03:30,1.02148,1.0226,1.02053,1.02201,36828.6289
2022-08-01 05:30,1.02201,1.02411,1.02154,1.02395,47953.7891
2022-08-01 07:30,1.02399,1.02402,1.02204,1.02237,25684.8301
2022-08-01 09:30,1.02238,1.02409,1.02132,1.02333,36735.3398
2022-08-01 11:30,1.02334,1.02675,1.02247,1.02557,64550.6016
2022-08-01 13:30,1.02558,1.027,1.02462,1.02517,49425.75
2022-08-01 15:30,1.02517,1.02541,1.02248,1.02358,64303.0821
2022-08-01 17:30,1.02358,1.02749,1.02265,1.02726,85425.60939999999
2022-08-01 19:30,1.02725,1.02751,1.02626,1.02739,41345.9004
2022-08-01 21:30,1.0274,1.02741,1.02452,1.02536,45640.041
2022-08-01 23:30,1.02537,1.02616,1.02491,1.02607,22163.8994
2022-08-02 01:30,1.02607,1.02633,1.0258,1.02618,9453.9047
2022-08-02 03:30,1.02618,1.02939,1.0256,1.02864,46619.8506
2022-08-02 05:30,1.02865,1.02865,1.02609,1.02745,75809.9883
2022-08-02 07:30,1.02745,1.02824,1.0265,1.0271,42025.740300000005
2022-08-02 09:30,1.02709,1.02765,1.02358,1.02416,46358.0703
2022-08-02 11:30,1.02416,1.0248,1.02149,1.02405,72933.9004
2022-08-02 13:30,1.02405,1.02453,1.02212,1.02267,51839.291
2022-08-02 15:30,1.02267,1.02426,1.02067,1.02118,65697.1407
2022-08-02 17:30,1.02121,1.02357,1.0181,1.01997,94983.9297
2022-08-02 19:30,1.01997,1.0213,1.01908,1.01948,59161.8106
2022-08-02 21:30,1.01948,1.01959,1.01708,1.01726,52096.7012
2022-08-02 23:30,1.01727,1.01804,1.01633,1.01652,20963.7402
2022-08-03 01:30,1.01648,1.01727,1.01629,1.01639,11973.9902
2022-08-03 03:30,1.01639,1.01656,1.01498,1.01579,45032.6485
2022-08-03 05:30,1.01581,1.01821,1.01565,1.01804,55661.7891
2022-08-03 07:30,1.01802,1.01934,1.01772,1.01858,47893.480500000005
2022-08-03 09:30,1.01859,1.01868,1.0154,1.01593,53231.5195
2022-08-03 11:30,1.01594,1.01912,1.01591,1.01878,75016.8692
